#: table_doi: 10.17182/hepdata.54967.v1/t1
#: name: Table 1
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.62-1.63 GeV.

#: data_file: Table1.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 9.300E-01,9.470E-01
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.62-1.63
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.625 (BIN=1.62 TO 1.63)
#: SQRT(S) [GeV],,,1.62-1.63
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.1,-0.15,-0.05,0.4967,0.0837,-0.0837,0.0546,-0.0546
0.0,-0.05,0.05,0.3799,0.0678,-0.0678,0.0418,-0.0418
0.1,0.05,0.15,0.3361,0.062,-0.062,0.037,-0.037
0.2,0.15,0.25,0.5174,0.0838,-0.0838,0.0569,-0.0569
0.3,0.25,0.35,0.5369,0.0796,-0.0796,0.0591,-0.0591
0.4,0.35,0.45,0.5052,0.0753,-0.0753,0.0556,-0.0556
0.5,0.45,0.55,0.4897,0.0849,-0.0849,0.0539,-0.0539
0.6000000000000001,0.55,0.65,0.5718,0.1043,-0.1043,0.0629,-0.0629
0.7,0.65,0.75,0.7261,0.15,-0.15,0.0799,-0.0799

