#: table_doi: 10.17182/hepdata.54967.v1/t37
#: name: Table 37
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 1.99-2 GeV.

#: data_file: Table37.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.642E+00,1.663E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 1.99-2.0
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,1.995 (BIN=1.99 TO 2)
#: SQRT(S) [GeV],,,1.99-2.0
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8999999999999999,-0.95,-0.85,0.7231,0.2327,-0.2327,0.0795,-0.0795
-0.8,-0.85,-0.75,0.7439,0.0605,-0.0605,0.0818,-0.0818
-0.7,-0.75,-0.65,0.533,0.0267,-0.0267,0.0586,-0.0586
-0.6000000000000001,-0.65,-0.55,0.4371,0.0215,-0.0215,0.0481,-0.0481
-0.5,-0.55,-0.45,0.3955,0.0217,-0.0217,0.0435,-0.0435
-0.4,-0.45,-0.35,0.3038,0.0257,-0.0257,0.0334,-0.0334
-0.3,-0.35,-0.25,0.333,0.0135,-0.0135,0.0366,-0.0366
-0.2,-0.25,-0.15,0.3636,0.0132,-0.0132,0.04,-0.04
-0.1,-0.15,-0.05,0.5097,0.0178,-0.0178,0.0561,-0.0561
0.0,-0.05,0.05,0.6273,0.0186,-0.0186,0.069,-0.069
0.1,0.05,0.15,0.7908,0.025,-0.025,0.087,-0.087
0.2,0.15,0.25,0.8868,0.0192,-0.0192,0.0975,-0.0975
0.3,0.25,0.35,1.1043,0.0223,-0.0223,0.1215,-0.1215
0.4,0.35,0.45,1.22,0.0242,-0.0242,0.1342,-0.1342
0.5,0.45,0.55,1.4142,0.0249,-0.0249,0.1556,-0.1556
0.6000000000000001,0.55,0.65,1.5763,0.0262,-0.0262,0.1734,-0.1734
0.7,0.65,0.75,1.8544,0.0308,-0.0308,0.204,-0.204
0.8,0.75,0.85,1.8711,0.0378,-0.0378,0.2058,-0.2058
0.89,0.85,0.93,1.9036,0.1042,-0.1042,0.2094,-0.2094

