#: table_doi: 10.17182/hepdata.54967.v1/t38
#: name: Table 38
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2-2.01 GeV.

#: data_file: Table38.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 1.663E+00,1.685E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.0-2.01
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.005 (BIN=2 TO 2.01)
#: SQRT(S) [GeV],,,2.0-2.01
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8999999999999999,-0.95,-0.85,0.5978,0.1062,-0.1062,0.0658,-0.0658
-0.8,-0.85,-0.75,0.7189,0.0523,-0.0523,0.0791,-0.0791
-0.7,-0.75,-0.65,0.4983,0.0221,-0.0221,0.0548,-0.0548
-0.6000000000000001,-0.65,-0.55,0.361,0.0169,-0.0169,0.0397,-0.0397
-0.5,-0.55,-0.45,0.2897,0.014,-0.014,0.0319,-0.0319
-0.4,-0.45,-0.35,0.2901,0.0125,-0.0125,0.0319,-0.0319
-0.3,-0.35,-0.25,0.2898,0.011,-0.011,0.0319,-0.0319
-0.2,-0.25,-0.15,0.3367,0.012,-0.012,0.037,-0.037
-0.1,-0.15,-0.05,0.4537,0.0209,-0.0209,0.0499,-0.0499
0.0,-0.05,0.05,0.5505,0.0159,-0.0159,0.0606,-0.0606
0.1,0.05,0.15,0.7133,0.0218,-0.0218,0.0785,-0.0785
0.2,0.15,0.25,0.8298,0.0168,-0.0168,0.0913,-0.0913
0.3,0.25,0.35,1.0243,0.0194,-0.0194,0.1127,-0.1127
0.4,0.35,0.45,1.1912,0.0224,-0.0224,0.131,-0.131
0.5,0.45,0.55,1.3024,0.0215,-0.0215,0.1433,-0.1433
0.6000000000000001,0.55,0.65,1.5556,0.0241,-0.0241,0.1711,-0.1711
0.7,0.65,0.75,1.6461,0.0258,-0.0258,0.1811,-0.1811
0.8,0.75,0.85,1.769,0.0333,-0.0333,0.1946,-0.1946
0.89,0.85,0.93,1.9404,0.0998,-0.0998,0.2134,-0.2134

