#: table_doi: 10.17182/hepdata.54967.v1/t73
#: name: Table 73
#: description: Differential cross section as a function of COS(THETA(K)) for the centre-of-mass range 2.35-2.36 GeV.

#: data_file: Table73.yaml
#: keyword reactions: GAMMA P --> K+ LAMBDA
#: keyword observables: DSIG/DCOSTHETA
#: keyword plabs: 2.475E+00,2.500E+00
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction | Strange production
#: keyword cmenergies: 2.35-2.36
#: RE,,,GAMMA P --> K+ LAMBDA
#: W [GEV],,,2.355 (BIN=2.35 TO 2.36)
#: SQRT(S) [GeV],,,2.35-2.36
"COS(THETA(P=3,RF=CM)","COS(THETA(P=3,RF=CM) LOW","COS(THETA(P=3,RF=CM) HIGH","D(SIG)/DCOS(THETA(P=3,RF=CM) [MUB]",stat +,stat -,sys +,sys -
-0.8,-0.85,-0.75,0.1304,0.0204,-0.0204,0.0143,-0.0143
-0.7,-0.75,-0.65,0.1064,0.0117,-0.0117,0.0117,-0.0117
-0.6000000000000001,-0.65,-0.55,0.09,0.0084,-0.0084,0.0099,-0.0099
-0.5,-0.55,-0.45,0.0742,0.0067,-0.0067,0.0082,-0.0082
-0.4,-0.45,-0.35,0.0831,0.0064,-0.0064,0.0091,-0.0091
-0.3,-0.35,-0.25,0.0772,0.0062,-0.0062,0.0085,-0.0085
-0.2,-0.25,-0.15,0.0728,0.0059,-0.0059,0.008,-0.008
-0.1,-0.15,-0.05,0.0905,0.0078,-0.0078,0.01,-0.01
0.0,-0.05,0.05,0.0932,0.0068,-0.0068,0.0103,-0.0103
0.1,0.05,0.15,0.0967,0.0055,-0.0055,0.0106,-0.0106
0.2,0.15,0.25,0.1336,0.0065,-0.0065,0.0147,-0.0147
0.3,0.25,0.35,0.1787,0.0099,-0.0099,0.0197,-0.0197
0.4,0.35,0.45,0.2711,0.0095,-0.0095,0.0298,-0.0298
0.5,0.45,0.55,0.4335,0.0118,-0.0118,0.0477,-0.0477
0.6000000000000001,0.55,0.65,0.7259,0.0168,-0.0168,0.0798,-0.0798
0.7,0.65,0.75,1.0393,0.0211,-0.0211,0.1143,-0.1143
0.8,0.75,0.85,1.4173,0.0259,-0.0259,0.1559,-0.1559
0.88,0.85,0.91,1.4605,0.0554,-0.0554,0.1607,-0.1607

