"""W""","""dsig/dcos""","""stat err""","""sys err"""
1.695,0.2227,0.1797,0.0212
1.705,0.3893,0.0841,0.0371
1.715,0.399,0.0701,0.0381
1.725,0.4954,0.1017,0.0473
1.735,0.554,0.0944,0.053
1.745,0.6425,0.0942,0.0615
1.755,0.6623,0.0774,0.0635
1.765,0.6989,0.0584,0.0671
1.775,0.8886,0.0524,0.0854
1.785,0.9052,0.0467,0.087
1.795,0.9136,0.0375,0.0879
1.805,1.02,0.042,0.099
1.815,1.244,0.048,0.12
1.825,1.271,0.049,0.124
1.835,1.503,0.049,0.146
1.845,1.584,0.049,0.154
1.855,1.763,0.049,0.172
1.865,1.734,0.049,0.169
1.875,1.809,0.05,0.177
1.885,1.744,0.047,0.171
1.895,1.836,0.05,0.18
1.905,1.636,0.046,0.161
1.915,1.604,0.044,0.158
1.925,1.624,0.048,0.16
1.935,1.514,0.043,0.149
1.945,1.419,0.041,0.14
1.965,1.214,0.034,0.121
1.975,1.165,0.032,0.116
1.985,1.091,0.03,0.108
1.995,1.057,0.03,0.105
2.005,0.97,0.0284,0.0967
2.015,0.9212,0.0278,0.0918
2.025,0.83,0.0258,0.0828
2.035,0.8137,0.0245,0.0812
2.045,0.7584,0.0241,0.0758
2.055,0.796,0.0259,0.0797
2.065,0.7328,0.0245,0.0733
2.075,0.6737,0.0239,0.0676
2.085,0.6051,0.0237,0.0607
2.095,0.625,0.0232,0.0628
2.105,0.5868,0.023,0.0591
2.115,0.5396,0.0208,0.0542
2.125,0.5084,0.0203,0.0513
2.135,0.5224,0.0214,0.0527
2.145,0.4813,0.0203,0.0486
2.155,0.4157,0.0185,0.042
2.165,0.4193,0.0193,0.0424
2.175,0.3527,0.0165,0.0357
2.185,0.3438,0.0153,0.0349
2.195,0.3341,0.0159,0.0339
2.205,0.3222,0.0174,0.0327
2.215,0.2737,0.0141,0.0278
2.225,0.2489,0.0129,0.0253
2.235,0.2235,0.0126,0.0228
2.245,0.2126,0.0122,0.0217
2.255,0.233,0.0124,0.0238
2.265,0.2238,0.0123,0.0229
2.275,0.2032,0.0116,0.0208
2.285,0.1567,0.0096,0.0161
2.295,0.149,0.01,0.0153
2.305,0.1336,0.0088,0.0137
2.315,0.1208,0.0087,0.0124
2.325,0.1164,0.0076,0.012
2.335,0.1121,0.008,0.0116
2.345,0.09141,0.00701,0.00944
2.355,0.09338,0.0068,0.00966
2.365,0.09154,0.00728,0.0095
2.375,0.071,0.00608,0.00737
2.385,0.06707,0.00583,0.00696
2.395,0.06152,0.006,0.00641
2.405,0.0558,0.00524,0.00579
2.415,0.05492,0.00535,0.00574
2.425,0.0521,0.00499,0.00544
2.435,0.053,0.00512,0.00554
2.445,0.0511,0.00482,0.00535
2.455,0.04471,0.00467,0.0047
2.465,0.03843,0.00468,0.00403
2.475,0.04858,0.00503,0.00512
2.485,0.04003,0.00446,0.00422
2.495,0.03988,0.00433,0.0042
2.505,0.03793,0.00417,0.004
2.515,0.03529,0.00435,0.00373
2.525,0.03664,0.00459,0.00388
2.535,0.03177,0.00398,0.00336
2.545,0.03983,0.00447,0.00423
2.555,0.03275,0.004,0.00347
2.565,0.03216,0.0039,0.00342
2.575,0.03097,0.00407,0.0033
2.585,0.01842,0.00315,0.00196
2.595,0.02764,0.00399,0.00295
2.605,0.02219,0.00291,0.00238
2.615,0.02537,0.00291,0.00271
2.625,0.02729,0.00361,0.00293
2.635,0.02597,0.0039,0.00279
2.645,0.03095,0.00402,0.00333
2.655,0.01835,0.00296,0.00197
2.665,0.01985,0.00311,0.00214
2.675,0.01843,0.00283,0.00198
2.685,0.01886,0.0033,0.00204
2.695,0.0242,0.00352,0.00262
2.705,0.02367,0.00307,0.00255
2.715,0.01913,0.00292,0.00207
2.725,0.01761,0.00283,0.00191
2.755,0.01439,0.00246,0.00156
2.765,0.01601,0.00285,0.00174
2.775,0.01532,0.00255,0.00167
2.785,0.01221,0.00221,0.00133
2.795,0.01376,0.00236,0.0015
2.805,0.01334,0.00229,0.00146
2.815,0.01435,0.00257,0.00157
2.825,0.01214,0.00234,0.00133
2.835,0.009422,0.001967,0.001032
