#: table_doi: 10.17182/hepdata.52667.v1/t58
#: name: Table 58
#: description: Differential cross section for the W range 2.30 to 2.31 GeV.

#: data_file: Table58.yaml
#: keyword reactions: GAMMA P --> OMEGA P
#: keyword observables: DSIG/DCOSTHETA
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | Photoproduction
#: keyword cmenergies: 2.3-2.31
#: RE,,,GAMMA P --> OMEGA P
#: W [GEV],,,2.305 (BIN=2.30 TO 2.31)
#: SQRT(S) [GeV],,,2.3-2.31
"COS(THETA(P=3,RF=CM))","COS(THETA(P=3,RF=CM)) LOW","COS(THETA(P=3,RF=CM)) HIGH",D(SIG)/DCOS(THETA) [MUB],error +,error -
-0.8400000000000001,-0.88,-0.8,0.926,0.0315,-0.0315
-0.75,-0.8,-0.7,0.9439,0.019,-0.019
-0.6499999999999999,-0.7,-0.6,0.8072,0.0162,-0.0162
-0.55,-0.6,-0.5,0.6833,0.0154,-0.0154
-0.45,-0.5,-0.4,0.575,0.014,-0.014
-0.35,-0.4,-0.3,0.6199,0.0145,-0.0145
-0.25,-0.3,-0.2,0.7355,0.0159,-0.0159
-0.15000000000000002,-0.2,-0.1,0.8202,0.0168,-0.0168
-0.05,-0.1,0.0,0.9531,0.0185,-0.0185
0.05,0.0,0.1,0.9147,0.0189,-0.0189
0.15000000000000002,0.1,0.2,0.8159,0.0174,-0.0174
0.25,0.2,0.3,0.7722,0.0171,-0.0171
0.35,0.3,0.4,0.8471,0.0183,-0.0183
0.45,0.4,0.5,1.074,0.021,-0.021
0.55,0.5,0.6,1.667,0.028,-0.028
0.6499999999999999,0.6,0.7,2.394,0.032,-0.032
0.75,0.7,0.8,4.133,0.044,-0.044
0.8500000000000001,0.8,0.9,9.279,0.091,-0.091
0.91,0.9,0.92,16.6,0.606,-0.606

