Path: /HepData/6792/d1-x1-y1
Differential cross sections
Location: T 2,F 10 11
COS(THETA(P=3)) : -1.0 TO -0.8 : -0.8 TO -0.6 : -0.6 TO -0.4 : -0.4 TO -0.2 : -0.2 TO 0.0 : 0.0 TO 0.2 : 0.2 TO 0.4 : 0.4 TO 0.6 : 0.6 TO 0.8 : 0.8 TO 1.0
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 1.636 - 1.884 GeV
x : E(P=1) IN GEV
y : D(SIG)/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	
	0.9829999999999999	0.957	1.009	0.028	+0.02	-0.02	0.09	+0.032	-0.032	0.073	+0.027	-0.027	0.151	+0.044	-0.044	0.093	+0.027	-0.027	0.117	+0.03	-0.03	0.223	+0.049	-0.049	0.16	+0.041	-0.041	0.169	+0.042	-0.042	0.036	+0.015	-0.015
	1.035	1.009	1.061	0.039	+0.029	-0.029	0.112	+0.044	-0.044	0.056	+0.018	-0.018	0.165	+0.037	-0.037	0.113	+0.024	-0.024	0.173	+0.033	-0.033	0.228	+0.038	-0.038	0.265	+0.043	-0.043	0.276	+0.044	-0.044	0.177	+0.042	-0.042
	1.087	1.061	1.113	0.066	+0.039	-0.039	0.146	+0.05	-0.05	0.054	+0.018	-0.018	0.111	+0.024	-0.024	0.143	+0.031	-0.031	0.201	+0.041	-0.041	0.174	+0.027	-0.027	0.163	+0.038	-0.038	0.248	+0.049	-0.049	0.262	+0.052	-0.052
	1.139	1.113	1.165	0.065	+0.038	-0.038	0.051	+0.026	-0.026	0.075	+0.025	-0.025	0.063	+0.02	-0.02	0.087	+0.018	-0.018	0.159	+0.029	-0.029	0.229	+0.034	-0.034	0.304	+0.038	-0.038	0.285	+0.044	-0.044	0.199	+0.04	-0.04
	1.191	1.165	1.217	0.014	+0.014	-0.014	0.038	+0.022	-0.022	0.217	+0.059	-0.059	0.091	+0.032	-0.032	0.126	+0.03	-0.03	0.166	+0.038	-0.038	0.163	+0.032	-0.032	0.21	+0.037	-0.037	0.331	+0.059	-0.059	0.308	+0.058	-0.058
	1.2429999999999999	1.217	1.269	0.081	+0.05	-0.05	0.038	+0.03	-0.03	0.153	+0.043	-0.043	0.062	+0.022	-0.022	0.166	+0.032	-0.032	0.188	+0.034	-0.034	0.234	+0.041	-0.041	0.285	+0.045	-0.045	0.292	+0.053	-0.053	0.357	+0.063	-0.063
	1.2945	1.269	1.32	0.029	+0.021	-0.021	0.073	+0.038	-0.038	0.046	+0.021	-0.021	0.151	+0.033	-0.033	0.159	+0.032	-0.032	0.188	+0.031	-0.031	0.25	+0.037	-0.037	0.322	+0.047	-0.047	0.322	+0.054	-0.054	0.231	+0.045	-0.045
	1.346	1.32	1.372	0.014	+0.014	-0.014	0.103	+0.035	-0.035	0.08	+0.027	-0.027	0.123	+0.031	-0.031	0.124	+0.026	-0.026	0.161	+0.028	-0.028	0.154	+0.028	-0.028	0.256	+0.036	-0.036	0.332	+0.047	-0.047	0.337	+0.058	-0.058
	1.3980000000000001	1.372	1.424	0.039	+0.023	-0.023	0.077	+0.029	-0.029	0.099	+0.032	-0.032	0.094	+0.026	-0.026	0.122	+0.025	-0.025	0.211	+0.034	-0.034	0.289	+0.041	-0.041	0.25	+0.038	-0.038	0.282	+0.046	-0.046	0.327	+0.061	-0.061
	1.45	1.424	1.476	0.042	+0.032	-0.032	0.065	+0.032	-0.032	0.097	+0.032	-0.032	0.099	+0.029	-0.029	0.101	+0.027	-0.027	0.125	+0.027	-0.027	0.228	+0.036	-0.036	0.195	+0.033	-0.033	0.335	+0.052	-0.052	0.194	+0.041	-0.041

