#: name: Table 139
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.15 to -0.05.

#: data_file: Table139.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.084,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,-0.1 (-0.15--0.05)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.732,1.71,1.76,1.13,1.084,1.177,0.09556,0.21965,-0.21965,0.03,-0.03
1.777,1.75,1.8,1.214,1.167,1.262,0.27246,0.13589,-0.13589,0.03,-0.03
1.8250000000000002,1.8,1.85,1.306,1.258,1.355,0.31374,0.09225,-0.09225,0.03,-0.03
1.875,1.85,1.9,1.405,1.355,1.455,0.15628,0.06369,-0.06369,0.03,-0.03
1.9249999999999998,1.9,1.95,1.506,1.455,1.558,0.15562,0.05625,-0.05625,0.03,-0.03
1.975,1.95,2.0,1.61,1.558,1.663,0.21324,0.0419,-0.0419,0.03,-0.03
2.025,2.0,2.05,1.717,1.663,1.771,0.15325,0.04479,-0.04479,0.03,-0.03
2.075,2.05,2.1,1.826,1.771,1.882,0.10993,0.04906,-0.04906,0.03,-0.03
2.125,2.1,2.15,1.938,1.882,1.995,0.12783,0.05208,-0.05208,0.03,-0.03
2.175,2.15,2.2,2.053,1.995,2.111,0.32645,0.05836,-0.05836,0.03,-0.03
2.225,2.2,2.25,2.17,2.111,2.23,0.37422,0.0739,-0.0739,0.03,-0.03
2.275,2.25,2.3,2.29,2.23,2.351,0.46814,0.08347,-0.08347,0.03,-0.03
2.325,2.3,2.35,2.412,2.351,2.475,0.37543,0.10414,-0.10414,0.03,-0.03
2.375,2.35,2.4,2.5380000000000003,2.475,2.601,0.42848,0.14855,-0.14855,0.03,-0.03
2.4299999999999997,2.4,2.46,2.6790000000000003,2.601,2.757,0.56176,0.15688,-0.15688,0.03,-0.03
2.49,2.46,2.52,2.836,2.757,2.916,0.42772,0.15321,-0.15321,0.03,-0.03
2.55,2.52,2.58,2.997,2.916,3.079,0.05973,0.1593,-0.1593,0.03,-0.03
2.605,2.58,2.63,3.148,3.079,3.218,0.20906,0.15805,-0.15805,0.03,-0.03
2.665,2.63,2.7,3.317,3.218,3.417,-0.0766,0.17488,-0.17488,0.03,-0.03
2.7350000000000003,2.7,2.77,3.518,3.417,3.621,0.44134,0.16742,-0.16742,0.03,-0.03
2.8049999999999997,2.77,2.84,3.725,3.621,3.83,0.057,0.19361,-0.19361,0.03,-0.03

