#: name: Table 140
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from -0.05 to 0.05.

#: data_file: Table140.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.113,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,0.0 (-0.05-0.05)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.743,1.72,1.76,1.15,1.113,1.188,-0.21667,0.19512,-0.19512,0.03,-0.03
1.781,1.76,1.8,1.222,1.184,1.26,0.05069,0.13009,-0.13009,0.03,-0.03
1.82,1.8,1.84,1.2970000000000002,1.258,1.336,0.22154,0.08691,-0.08691,0.03,-0.03
1.8599999999999999,1.84,1.88,1.375,1.336,1.415,0.20668,0.06077,-0.06077,0.03,-0.03
1.9,1.88,1.92,1.455,1.415,1.496,0.24258,0.05188,-0.05188,0.03,-0.03
1.94,1.92,1.96,1.537,1.496,1.579,0.19359,0.05125,-0.05125,0.03,-0.03
1.98,1.96,2.0,1.621,1.579,1.663,0.29678,0.04009,-0.04009,0.03,-0.03
2.02,2.0,2.04,1.706,1.663,1.749,0.2704,0.04463,-0.04463,0.03,-0.03
2.06,2.04,2.08,1.7930000000000001,1.749,1.837,0.31095,0.04857,-0.04857,0.03,-0.03
2.1,2.08,2.12,1.8820000000000001,1.837,1.927,0.19918,0.05551,-0.05551,0.03,-0.03
2.14,2.12,2.16,1.972,1.927,2.018,0.5095,0.06231,-0.06231,0.03,-0.03
2.18,2.16,2.2,2.064,2.018,2.111,0.4814,0.06737,-0.06737,0.03,-0.03
2.22,2.2,2.24,2.158,2.111,2.206,0.53433,0.0836,-0.0836,0.03,-0.03
2.26,2.24,2.28,2.254,2.206,2.302,0.58925,0.07777,-0.07777,0.03,-0.03
2.3,2.28,2.32,2.351,2.302,2.4,0.52564,0.09241,-0.09241,0.03,-0.03
2.34,2.32,2.36,2.45,2.4,2.5,0.48021,0.09655,-0.09655,0.03,-0.03
2.38,2.36,2.4,2.55,2.5,2.601,0.65273,0.1011,-0.1011,0.03,-0.03
2.42,2.4,2.44,2.653,2.601,2.705,0.55866,0.14061,-0.14061,0.03,-0.03
2.46,2.44,2.48,2.757,2.705,2.809,0.51478,0.13396,-0.13396,0.03,-0.03
2.5,2.48,2.52,2.863,2.809,2.916,0.11965,0.14471,-0.14471,0.03,-0.03
2.54,2.52,2.56,2.9699999999999998,2.916,3.024,-0.08117,0.14805,-0.14805,0.03,-0.03
2.585,2.56,2.61,3.093,3.024,3.162,0.24997,0.16292,-0.16292,0.03,-0.03
2.63,2.61,2.65,3.218,3.162,3.274,0.12467,0.15352,-0.15352,0.03,-0.03
2.6799999999999997,2.65,2.71,3.3600000000000003,3.274,3.446,-0.14522,0.15383,-0.15383,0.03,-0.03
2.745,2.71,2.78,3.548,3.446,3.651,0.40707,0.15387,-0.15387,0.03,-0.03
2.8099999999999996,2.78,2.84,3.74,3.651,3.83,0.04922,0.1708,-0.1708,0.03,-0.03

