#: name: Table 147
#: description: Recoil polarization as a function of the centre-of-mass energy for the angular range COS(THETA(K+,CM) from 0.65 to 0.75.

#: data_file: Table147.yaml
#: keyword reactions: GAMMA P --> K+ SIGMA0
#: keyword observables: POL
#: keyword plabs: 1.095,3.830
#: keyword phrases: Exclusive | Polarization | Photoproduction | Strange production
#: RE,,,,,GAMMA P --> K+ SIGMA0
#: COS(THETA),,,,,0.7 (0.65-0.75)
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','E(P=1) [GEV]','E(P=1) [GEV] LOW','E(P=1) [GEV] HIGH','POL','stat +','stat -','sys +','sys -'
1.728,1.71,1.74,1.123,1.095,1.15,0.36451,0.24802,-0.24802,0.03,-0.03
1.757,1.74,1.77,1.177,1.149,1.205,0.05038,0.16016,-0.16016,0.03,-0.03
1.786,1.77,1.8,1.231,1.203,1.26,0.6824,0.12787,-0.12787,0.03,-0.03
1.815,1.8,1.83,1.287,1.258,1.316,0.50748,0.0912,-0.0912,0.03,-0.03
1.8450000000000002,1.83,1.86,1.346,1.316,1.375,0.4396,0.07099,-0.07099,0.03,-0.03
1.875,1.86,1.89,1.405,1.375,1.435,0.58102,0.0594,-0.0594,0.03,-0.03
1.9049999999999998,1.89,1.92,1.465,1.435,1.496,0.80262,0.04826,-0.04826,0.03,-0.03
1.935,1.92,1.95,1.5270000000000001,1.496,1.558,0.68428,0.05589,-0.05589,0.03,-0.03
1.9649999999999999,1.95,1.98,1.589,1.558,1.621,0.85223,0.03525,-0.03525,0.03,-0.03
1.9949999999999999,1.98,2.01,1.653,1.621,1.685,0.97504,0.03136,-0.03136,0.03,-0.03
2.025,2.01,2.04,1.717,1.685,1.749,0.95542,0.03087,-0.03087,0.03,-0.03
2.0549999999999997,2.04,2.07,1.782,1.749,1.815,0.94567,0.03053,-0.03053,0.03,-0.03
2.085,2.07,2.1,1.848,1.815,1.882,0.97625,0.02946,-0.02946,0.03,-0.03
2.115,2.1,2.13,1.915,1.882,1.949,0.91631,0.03286,-0.03286,0.03,-0.03
2.145,2.13,2.16,1.984,1.949,2.018,0.88857,0.03403,-0.03403,0.03,-0.03
2.175,2.16,2.19,2.053,2.018,2.088,0.83653,0.03563,-0.03563,0.03,-0.03
2.205,2.19,2.22,2.123,2.088,2.158,0.85149,0.03741,-0.03741,0.03,-0.03
2.2350000000000003,2.22,2.25,2.194,2.158,2.23,0.62055,0.03973,-0.03973,0.03,-0.03
2.2649999999999997,2.25,2.28,2.266,2.23,2.302,0.51596,0.03694,-0.03694,0.03,-0.03
2.295,2.28,2.31,2.339,2.302,2.375,0.66745,0.03638,-0.03638,0.03,-0.03
2.325,2.31,2.34,2.412,2.375,2.45,0.51326,0.03934,-0.03934,0.03,-0.03
2.355,2.34,2.37,2.487,2.45,2.525,0.54072,0.03847,-0.03847,0.03,-0.03
2.385,2.37,2.4,2.5629999999999997,2.525,2.601,0.61142,0.04144,-0.04144,0.03,-0.03
2.415,2.4,2.43,2.6399999999999997,2.601,2.679,0.60074,0.04285,-0.04285,0.03,-0.03
2.4450000000000003,2.43,2.46,2.718,2.679,2.757,0.54047,0.04084,-0.04084,0.03,-0.03
2.475,2.46,2.49,2.796,2.757,2.836,0.62814,0.04263,-0.04263,0.03,-0.03
2.505,2.49,2.52,2.876,2.836,2.916,0.60062,0.04354,-0.04354,0.03,-0.03
2.535,2.52,2.55,2.956,2.916,2.997,0.49721,0.04933,-0.04933,0.03,-0.03
2.565,2.55,2.58,3.0380000000000003,2.997,3.079,0.69168,0.04747,-0.04747,0.03,-0.03
2.5949999999999998,2.58,2.61,3.121,3.079,3.162,0.61188,0.04627,-0.04627,0.03,-0.03
2.625,2.61,2.64,3.2039999999999997,3.162,3.246,0.52729,0.04511,-0.04511,0.03,-0.03
2.6550000000000002,2.64,2.67,3.288,3.246,3.331,0.55073,0.05271,-0.05271,0.03,-0.03
2.685,2.67,2.7,3.3739999999999997,3.331,3.417,0.6264,0.05894,-0.05894,0.03,-0.03
2.715,2.7,2.73,3.46,3.417,3.504,0.69236,0.05293,-0.05293,0.03,-0.03
2.745,2.73,2.76,3.548,3.504,3.592,0.60599,0.06281,-0.06281,0.03,-0.03
2.775,2.76,2.79,3.636,3.592,3.68,0.55388,0.06004,-0.06004,0.03,-0.03
2.8049999999999997,2.79,2.82,3.725,3.68,3.77,0.36906,0.06632,-0.06632,0.03,-0.03
2.83,2.82,2.84,3.8,3.77,3.83,0.56212,0.08126,-0.08126,0.03,-0.03

