Path: /HepData/22/d4-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ LAMBDA in the energy region 1.4 to 1.6 GeV
Location: F 13
E(P=1) IN GEV : 1.400 TO 1.450 : 1.450 TO 1.500 : 1.500 TO 1.550 : 1.550 TO 1.600
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 1.872 - 1.897 GeV : 1.897 - 1.922 GeV : 1.922 - 1.946 GeV : 1.946 - 1.97 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.031	+0.039	-0.039	+0.019	-0.019	0.068	+0.021	-0.021	+0.021	-0.021	0.034	+0.043	-0.043	+0.017	-0.017	0.021	+0.035	-0.035	+0.016	-0.016
	-0.8500000000000001	-0.9	-0.8	0.101	+0.015	-0.015	+0.015	-0.015	0.081	+0.014	-0.014	+0.014	-0.014	0.075	+0.016	-0.016	+0.014	-0.014	0.071	+0.016	-0.016	+0.013	-0.013
	-0.75	-0.8	-0.7	0.071	+0.015	-0.015	+0.012	-0.012	0.099	+0.014	-0.014	+0.014	-0.014	0.076	+0.012	-0.012	+0.012	-0.012	0.072	+0.012	-0.012	+0.012	-0.012
	-0.6499999999999999	-0.7	-0.6	0.093	+0.013	-0.013	+0.013	-0.013	0.065	+0.013	-0.013	+0.011	-0.011	0.108	+0.018	-0.018	+0.015	-0.015	0.063	+0.012	-0.012	+0.011	-0.011
	-0.55	-0.6	-0.5	0.106	+0.013	-0.013	+0.013	-0.013	0.083	+0.012	-0.012	+0.012	-0.012	0.064	+0.03	-0.03	+0.011	-0.011	0.05	+0.009	-0.009	+0.009	-0.009
	-0.45	-0.5	-0.4	0.103	+0.013	-0.013	+0.013	-0.013	0.091	+0.015	-0.015	+0.012	-0.012	0.092	+0.021	-0.021	+0.013	-0.013	0.074	+0.012	-0.012	+0.011	-0.011
	-0.35	-0.4	-0.3	0.087	+0.021	-0.021	+0.011	-0.011	0.091	+0.017	-0.017	+0.012	-0.012	0.074	+0.011	-0.011	+0.011	-0.011	0.072	+0.012	-0.012	+0.011	-0.011
	-0.25	-0.3	-0.2	0.125	+0.016	-0.016	+0.013	-0.013	0.081	+0.023	-0.023	+0.01	-0.01	0.096	+0.012	-0.012	+0.012	-0.012	0.07	+0.01	-0.01	+0.01	-0.01
	-0.15000000000000002	-0.2	-0.1	0.117	+0.019	-0.019	+0.012	-0.012	0.103	+0.011	-0.011	+0.011	-0.011	0.075	+0.025	-0.025	+0.01	-0.01	0.076	+0.011	-0.011	+0.01	-0.01
	-0.05	-0.1	0.0	0.135	+0.013	-0.013	+0.013	-0.013	0.112	+0.012	-0.012	+0.012	-0.012	0.088	+0.017	-0.017	+0.01	-0.01	0.099	+0.012	-0.012	+0.012	-0.012
	0.05	0.0	0.1	0.131	+0.013	-0.013	+0.013	-0.013	0.098	+0.011	-0.011	+0.011	-0.011	0.122	+0.013	-0.013	+0.013	-0.013	0.114	+0.013	-0.013	+0.013	-0.013
	0.15000000000000002	0.1	0.2	0.131	+0.017	-0.017	+0.012	-0.012	0.139	+0.013	-0.013	+0.013	-0.013	0.13	+0.013	-0.013	+0.013	-0.013	0.13	+0.028	-0.028	+0.013	-0.013
	0.25	0.2	0.3	0.166	+0.013	-0.013	+0.013	-0.013	0.153	+0.025	-0.025	+0.013	-0.013	0.142	+0.023	-0.023	+0.012	-0.012	0.149	+0.013	-0.013	+0.013	-0.013
	0.35	0.3	0.4	0.174	+0.013	-0.013	+0.013	-0.013	0.175	+0.02	-0.02	+0.013	-0.013	0.142	+0.036	-0.036	+0.012	-0.012	0.164	+0.014	-0.014	+0.014	-0.014
	0.45	0.4	0.5	0.211	+0.031	-0.031	+0.015	-0.015	0.202	+0.022	-0.022	+0.015	-0.015	0.204	+0.015	-0.015	+0.015	-0.015	0.189	+0.015	-0.015	+0.015	-0.015
	0.55	0.5	0.6	0.244	+0.017	-0.017	+0.017	-0.017	0.239	+0.025	-0.025	+0.017	-0.017	0.218	+0.021	-0.021	+0.017	-0.017	0.212	+0.042	-0.042	+0.017	-0.017
	0.6499999999999999	0.6	0.7	0.241	+0.024	-0.024	+0.017	-0.017	0.236	+0.028	-0.028	+0.018	-0.018	0.266	+0.02	-0.02	+0.02	-0.02	0.206	+0.031	-0.031	+0.017	-0.017
	0.75	0.7	0.8	0.23	+0.018	-0.018	+0.018	-0.018	0.233	+0.028	-0.028	+0.019	-0.019	0.26	+0.021	-0.021	+0.021	-0.021	0.251	+0.036	-0.036	+0.021	-0.021
	0.8500000000000001	0.8	0.9	0.235	+0.032	-0.032	+0.02	-0.02	0.262	+0.025	-0.025	+0.022	-0.022	0.277	+0.025	-0.025	+0.024	-0.024	0.268	+0.036	-0.036	+0.024	-0.024
	0.95	0.9	1.0	0.176	+0.028	-0.028	+0.021	-0.021	0.24	+0.039	-0.039	+0.027	-0.027	0.225	+0.04	-0.04	+0.026	-0.026	0.212	+0.031	-0.031	+0.027	-0.027

