Path: /HepData/22/d5-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ LAMBDA in the energy region 1.6 to 1.8 GeV
Location: F 13
E(P=1) IN GEV : 1.600 TO 1.650 : 1.650 TO 1.700 : 1.700 TO 1.750 : 1.750 TO 1.800
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 1.97 - 1.994 GeV : 1.994 - 2.017 GeV : 2.017 - 2.04 GeV : 2.04 - 2.063 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.057	+0.022	-0.022	+0.02	-0.02	0.035	+0.032	-0.032	+0.015	-0.015	0.043	+0.016	-0.016	+0.016	-0.016	0.03	+0.017	-0.017	+0.017	-0.017
	-0.8500000000000001	-0.9	-0.8	0.041	+0.02	-0.02	+0.01	-0.01	0.049	+0.011	-0.011	+0.011	-0.011	0.035	+0.01	-0.01	+0.01	-0.01	0.036	+0.024	-0.024	+0.011	-0.011
	-0.75	-0.8	-0.7	0.05	+0.01	-0.01	+0.01	-0.01	0.058	+0.011	-0.011	+0.011	-0.011	0.067	+0.013	-0.013	+0.013	-0.013	0.023	+0.008	-0.008	+0.008	-0.008
	-0.6499999999999999	-0.7	-0.6	0.064	+0.011	-0.011	+0.011	-0.011	0.064	+0.014	-0.014	+0.012	-0.012	0.038	+0.011	-0.011	+0.009	-0.009	0.046	+0.019	-0.019	+0.01	-0.01
	-0.55	-0.6	-0.5	0.059	+0.029	-0.029	+0.011	-0.011	0.028	+0.017	-0.017	+0.007	-0.007	0.024	+0.011	-0.011	+0.007	-0.007	0.025	+0.007	-0.007	+0.007	-0.007
	-0.45	-0.5	-0.4	0.053	+0.015	-0.015	+0.01	-0.01	0.044	+0.011	-0.011	+0.009	-0.009	0.027	+0.007	-0.007	+0.007	-0.007	0.016	+0.021	-0.021	+0.007	-0.007
	-0.35	-0.4	-0.3	0.035	+0.008	-0.008	+0.008	-0.008	0.022	+0.008	-0.008	+0.006	-0.006	0.048	+0.019	-0.019	+0.01	-0.01	0.027	+0.008	-0.008	+0.008	-0.008
	-0.25	-0.3	-0.2	0.045	+0.008	-0.008	+0.008	-0.008	0.041	+0.009	-0.009	+0.009	-0.009	0.041	+0.009	-0.009	+0.009	-0.009	0.034	+0.009	-0.009	+0.008	-0.008
	-0.15000000000000002	-0.2	-0.1	0.046	+0.013	-0.013	+0.008	-0.008	0.053	+0.022	-0.022	+0.009	-0.009	0.037	+0.007	-0.007	+0.007	-0.007	0.045	+0.009	-0.009	+0.009	-0.009
	-0.05	-0.1	0.0	0.071	+0.014	-0.014	+0.01	-0.01	0.069	+0.01	-0.01	+0.01	-0.01	0.038	+0.007	-0.007	+0.007	-0.007	0.017	+0.027	-0.027	+0.006	-0.006
	0.05	0.0	0.1	0.088	+0.029	-0.029	+0.011	-0.011	0.082	+0.012	-0.012	+0.011	-0.011	0.062	+0.01	-0.01	+0.01	-0.01	0.039	+0.026	-0.026	+0.008	-0.008
	0.15000000000000002	0.1	0.2	0.121	+0.019	-0.019	+0.012	-0.012	0.093	+0.012	-0.012	+0.011	-0.011	0.091	+0.011	-0.011	+0.011	-0.011	0.088	+0.011	-0.011	+0.011	-0.011
	0.25	0.2	0.3	0.113	+0.019	-0.019	+0.011	-0.011	0.128	+0.018	-0.018	+0.012	-0.012	0.089	+0.028	-0.028	+0.01	-0.01	0.084	+0.01	-0.01	+0.01	-0.01
	0.35	0.3	0.4	0.161	+0.014	-0.014	+0.014	-0.014	0.156	+0.014	-0.014	+0.014	-0.014	0.139	+0.017	-0.017	+0.013	-0.013	0.121	+0.022	-0.022	+0.012	-0.012
	0.45	0.4	0.5	0.19	+0.027	-0.027	+0.016	-0.016	0.182	+0.016	-0.016	+0.016	-0.016	0.163	+0.024	-0.024	+0.015	-0.015	0.162	+0.016	-0.016	+0.016	-0.016
	0.55	0.5	0.6	0.225	+0.02	-0.02	+0.018	-0.018	0.202	+0.018	-0.018	+0.018	-0.018	0.217	+0.023	-0.023	+0.019	-0.019	0.183	+0.036	-0.036	+0.017	-0.017
	0.6499999999999999	0.6	0.7	0.2	+0.017	-0.017	+0.017	-0.017	0.175	+0.021	-0.021	+0.017	-0.017	0.232	+0.02	-0.02	+0.02	-0.02	0.197	+0.019	-0.019	+0.019	-0.019
	0.75	0.7	0.8	0.215	+0.03	-0.03	+0.02	-0.02	0.241	+0.022	-0.022	+0.022	-0.022	0.234	+0.022	-0.022	+0.022	-0.022	0.215	+0.028	-0.028	+0.023	-0.023
	0.8500000000000001	0.8	0.9	0.262	+0.044	-0.044	+0.025	-0.025	0.272	+0.033	-0.033	+0.026	-0.026	0.191	+0.056	-0.056	+0.022	-0.022	0.235	+0.025	-0.025	+0.025	-0.025
	0.95	0.9	1.0	0.242	+0.037	-0.037	+0.03	-0.03	0.248	+0.057	-0.057	+0.032	-0.032	0.189	+0.032	-0.032	+0.028	-0.028	0.262	+0.035	-0.035	+0.035	-0.035

