Path: /HepData/22/d6-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ LAMBDA in the energy region 1.8 to 2.0 GeV
Location: F 13
E(P=1) IN GEV : 1.800 TO 1.850 : 1.850 TO 1.900 : 1.900 TO 1.950 : 1.950 TO 2.000
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 2.063 - 2.086 GeV : 2.086 - 2.108 GeV : 2.108 - 2.13 GeV : 2.13 - 2.152 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.024	+0.017	-0.017	+0.017	-0.017	0.038	+0.02	-0.02	+0.02	-0.02	0.035	+0.019	-0.019	+0.019	-0.019	0.04	+0.022	-0.022	+0.022	-0.022
	-0.8500000000000001	-0.9	-0.8	0.035	+0.011	-0.011	+0.011	-0.011	0.003	+0.006	-0.006	+0.006	-0.006	0.022	+0.012	-0.012	+0.009	-0.009	0.011	+0.007	-0.007	+0.007	-0.007
	-0.75	-0.8	-0.7	0.032	+0.01	-0.01	+0.01	-0.01	0.016	+0.01	-0.01	+0.007	-0.007	0.029	+0.009	-0.009	+0.009	-0.009	0.011	+0.017	-0.017	+0.006	-0.006
	-0.6499999999999999	-0.7	-0.6	0.022	+0.008	-0.008	+0.007	-0.007	0.026	+0.008	-0.008	+0.008	-0.008	0.021	+0.018	-0.018	+0.009	-0.009	0.029	+0.009	-0.009	+0.009	-0.009
	-0.55	-0.6	-0.5	0.017	+0.012	-0.012	+0.007	-0.007	0.022	+0.008	-0.008	+0.007	-0.007	0.014	+0.006	-0.006	+0.006	-0.006	0.02	+0.008	-0.008	+0.008	-0.008
	-0.45	-0.5	-0.4	0.016	+0.006	-0.006	+0.006	-0.006	0.008	+0.007	-0.007	+0.005	-0.005	0.013	+0.006	-0.006	+0.006	-0.006	0.004	+0.005	-0.005	+0.005	-0.005
	-0.35	-0.4	-0.3	0.012	+0.012	-0.012	+0.006	-0.006	0.015	+0.009	-0.009	+0.007	-0.007	0.014	+0.008	-0.008	+0.006	-0.006	0.028	+0.011	-0.011	+0.009	-0.009
	-0.25	-0.3	-0.2	0.015	+0.014	-0.014	+0.005	-0.005	0.024	+0.017	-0.017	+0.007	-0.007	0.018	+0.007	-0.007	+0.007	-0.007	0.012	+0.021	-0.021	+0.007	-0.007
	-0.15000000000000002	-0.2	-0.1	0.027	+0.012	-0.012	+0.007	-0.007	0.014	+0.012	-0.012	+0.005	-0.005	0.023	+0.007	-0.007	+0.007	-0.007	0.025	+0.007	-0.007	+0.007	-0.007
	-0.05	-0.1	0.0	0.04	+0.008	-0.008	+0.008	-0.008	0.039	+0.008	-0.008	+0.008	-0.008	0.03	+0.007	-0.007	+0.007	-0.007	0.019	+0.013	-0.013	+0.006	-0.006
	0.05	0.0	0.1	0.07	+0.012	-0.012	+0.011	-0.011	0.052	+0.009	-0.009	+0.009	-0.009	0.033	+0.013	-0.013	+0.008	-0.008	0.043	+0.009	-0.009	+0.009	-0.009
	0.15000000000000002	0.1	0.2	0.07	+0.01	-0.01	+0.01	-0.01	0.054	+0.009	-0.009	+0.009	-0.009	0.048	+0.018	-0.018	+0.008	-0.008	0.032	+0.007	-0.007	+0.007	-0.007
	0.25	0.2	0.3	0.1	+0.013	-0.013	+0.011	-0.011	0.102	+0.012	-0.012	+0.012	-0.012	0.058	+0.027	-0.027	+0.009	-0.009	0.063	+0.009	-0.009	+0.009	-0.009
	0.35	0.3	0.4	0.115	+0.02	-0.02	+0.013	-0.013	0.111	+0.025	-0.025	+0.013	-0.013	0.087	+0.011	-0.011	+0.011	-0.011	0.104	+0.027	-0.027	+0.013	-0.013
	0.45	0.4	0.5	0.145	+0.018	-0.018	+0.015	-0.015	0.137	+0.021	-0.021	+0.015	-0.015	0.152	+0.017	-0.017	+0.017	-0.017	0.131	+0.015	-0.015	+0.015	-0.015
	0.55	0.5	0.6	0.194	+0.024	-0.024	+0.018	-0.018	0.206	+0.02	-0.02	+0.02	-0.02	0.178	+0.026	-0.026	+0.019	-0.019	0.143	+0.017	-0.017	+0.017	-0.017
	0.6499999999999999	0.6	0.7	0.212	+0.021	-0.021	+0.021	-0.021	0.184	+0.02	-0.02	+0.02	-0.02	0.197	+0.021	-0.021	+0.021	-0.021	0.168	+0.022	-0.022	+0.02	-0.02
	0.75	0.7	0.8	0.224	+0.037	-0.037	+0.023	-0.023	0.257	+0.025	-0.025	+0.025	-0.025	0.297	+0.029	-0.029	+0.029	-0.029	0.28	+0.03	-0.03	+0.03	-0.03
	0.8500000000000001	0.8	0.9	0.21	+0.045	-0.045	+0.025	-0.025	0.287	+0.032	-0.032	+0.032	-0.032	0.239	+0.033	-0.033	+0.029	-0.029	0.276	+0.036	-0.036	+0.033	-0.033
	0.95	0.9	1.0	0.181	+0.061	-0.061	+0.029	-0.029	0.176	+0.027	-0.027	+0.027	-0.027	0.258	+0.038	-0.038	+0.038	-0.038	0.242	+0.053	-0.053	+0.037	-0.037

