Path: /HepData/22/d8-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ LAMBDA in the energy region 2.2 to 2.4 GeV
Location: F 14
E(P=1) IN GEV : 2.200 TO 2.250 : 2.250 TO 2.300 : 2.300 TO 2.350 : 2.350 TO 2.400
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 2.238 - 2.259 GeV : 2.259 - 2.279 GeV : 2.279 - 2.3 GeV : 2.3 - 2.32 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.0	+0.025	-0.025	+0.025	-0.025	0.014	+0.022	-0.022	+0.022	-0.022	0.012	+0.024	-0.024	+0.024	-0.024	0.037	+0.031	-0.031	+0.031	-0.031
	-0.8500000000000001	-0.9	-0.8	0.011	+0.009	-0.009	+0.009	-0.009	0.008	+0.012	-0.012	+0.012	-0.012	0.016	+0.012	-0.012	+0.012	-0.012	0.015	+0.011	-0.011	+0.011	-0.011
	-0.75	-0.8	-0.7	0.019	+0.011	-0.011	+0.01	-0.01	0.011	+0.013	-0.013	+0.013	-0.013	0.004	+0.008	-0.008	+0.008	-0.008	0.028	+0.014	-0.014	+0.014	-0.014
	-0.6499999999999999	-0.7	-0.6	0.01	+0.01	-0.01	+0.01	-0.01	0.008	+0.011	-0.011	+0.011	-0.011	0.02	+0.011	-0.011	+0.011	-0.011	0.023	+0.023	-0.023	+0.013	-0.013
	-0.55	-0.6	-0.5	0.013	+0.008	-0.008	+0.008	-0.008	0.018	+0.012	-0.012	+0.011	-0.011	0.01	+0.013	-0.013	+0.009	-0.009	0.015	+0.011	-0.011	+0.01	-0.01
	-0.45	-0.5	-0.4	0.005	+0.01	-0.01	+0.006	-0.006	0.006	+0.008	-0.008	+0.008	-0.008	0.003	+0.008	-0.008	+0.008	-0.008	0.009	+0.01	-0.01	+0.01	-0.01
	-0.35	-0.4	-0.3	0.016	+0.008	-0.008	+0.008	-0.008	0.008	+0.008	-0.008	+0.008	-0.008	0.009	+0.008	-0.008	+0.007	-0.007	0.007	+0.008	-0.008	+0.008	-0.008
	-0.25	-0.3	-0.2	0.007	+0.014	-0.014	+0.005	-0.005	0.015	+0.014	-0.014	+0.009	-0.009	0.009	+0.008	-0.008	+0.006	-0.006	0.01	+0.007	-0.007	+0.007	-0.007
	-0.15000000000000002	-0.2	-0.1	0.014	+0.006	-0.006	+0.006	-0.006	0.016	+0.006	-0.006	+0.006	-0.006	0.008	+0.005	-0.005	+0.005	-0.005	0.01	+0.007	-0.007	+0.007	-0.007
	-0.05	-0.1	0.0	0.015	+0.01	-0.01	+0.006	-0.006	0.006	+0.005	-0.005	+0.005	-0.005	0.014	+0.009	-0.009	+0.006	-0.006	0.01	+0.007	-0.007	+0.007	-0.007
	0.05	0.0	0.1	0.024	+0.008	-0.008	+0.007	-0.007	0.016	+0.006	-0.006	+0.006	-0.006	0.014	+0.005	-0.005	+0.005	-0.005	0.002	+0.004	-0.004	+0.004	-0.004
	0.15000000000000002	0.1	0.2	0.029	+0.007	-0.007	+0.007	-0.007	0.03	+0.007	-0.007	+0.007	-0.007	0.007	+0.004	-0.004	+0.004	-0.004	0.025	+0.017	-0.017	+0.007	-0.007
	0.25	0.2	0.3	0.055	+0.012	-0.012	+0.01	-0.01	0.035	+0.011	-0.011	+0.008	-0.008	0.034	+0.023	-0.023	+0.008	-0.008	0.017	+0.015	-0.015	+0.006	-0.006
	0.35	0.3	0.4	0.028	+0.007	-0.007	+0.007	-0.007	0.039	+0.009	-0.009	+0.009	-0.009	0.043	+0.01	-0.01	+0.01	-0.01	0.046	+0.019	-0.019	+0.01	-0.01
	0.45	0.4	0.5	0.058	+0.017	-0.017	+0.012	-0.012	0.057	+0.015	-0.015	+0.012	-0.012	0.102	+0.016	-0.016	+0.016	-0.016	0.071	+0.025	-0.025	+0.014	-0.014
	0.55	0.5	0.6	0.095	+0.016	-0.016	+0.016	-0.016	0.134	+0.02	-0.02	+0.02	-0.02	0.098	+0.017	-0.017	+0.017	-0.017	0.12	+0.02	-0.02	+0.02	-0.02
	0.6499999999999999	0.6	0.7	0.161	+0.022	-0.022	+0.022	-0.022	0.123	+0.029	-0.029	+0.021	-0.021	0.115	+0.047	-0.047	+0.02	-0.02	0.131	+0.022	-0.022	+0.022	-0.022
	0.75	0.7	0.8	0.188	+0.038	-0.038	+0.027	-0.027	0.245	+0.033	-0.033	+0.033	-0.033	0.197	+0.036	-0.036	+0.029	-0.029	0.215	+0.033	-0.033	+0.033	-0.033
	0.8500000000000001	0.8	0.9	0.27	+0.038	-0.038	+0.038	-0.038	0.241	+0.037	-0.037	+0.037	-0.037	0.29	+0.06	-0.06	+0.04	-0.04	0.219	+0.037	-0.037	+0.037	-0.037
	0.95	0.9	1.0	0.269	+0.05	-0.05	+0.048	-0.048	0.134	+0.065	-0.065	+0.032	-0.032	0.247	+0.073	-0.073	+0.046	-0.046	0.208	+0.055	-0.055	+0.044	-0.044

