Path: /HepData/22/d9-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ LAMBDA in the energy region 2.4 to 2.6 GeV
Location: F 14
E(P=1) IN GEV : 2.400 TO 2.450 : 2.450 TO 2.500 : 2.500 TO 2.550 : 2.550 TO 2.600
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 2.32 - 2.34 GeV : 2.34 - 2.36 GeV : 2.36 - 2.38 GeV : 2.38 - 2.399 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.026	+0.04	-0.04	+0.04	-0.04	0.0	+0.032	-0.032	+0.032	-0.032	0.015	+0.049	-0.049	+0.049	-0.049	0.026	+0.058	-0.058	+0.058	-0.058
	-0.8500000000000001	-0.9	-0.8	0.0	+0.011	-0.011	+0.011	-0.011	0.0	+0.015	-0.015	+0.015	-0.015	0.021	+0.021	-0.021	+0.021	-0.021	0.0	+0.017	-0.017	+0.017	-0.017
	-0.75	-0.8	-0.7	0.0	+0.011	-0.011	+0.011	-0.011	0.013	+0.014	-0.014	+0.014	-0.014	0.019	+0.017	-0.017	+0.017	-0.017	0.0	+0.019	-0.019	+0.019	-0.019
	-0.6499999999999999	-0.7	-0.6	0.001	+0.012	-0.012	+0.012	-0.012	0.0	+0.012	-0.012	+0.012	-0.012	0.004	+0.014	-0.014	+0.014	-0.014	0.015	+0.014	-0.014	+0.014	-0.014
	-0.55	-0.6	-0.5	0.007	+0.011	-0.011	+0.011	-0.011	0.002	+0.011	-0.011	+0.011	-0.011	0.0	+0.012	-0.012	+0.012	-0.012	0.004	+0.016	-0.016	+0.016	-0.016
	-0.45	-0.5	-0.4	0.005	+0.008	-0.008	+0.008	-0.008	0.002	+0.01	-0.01	+0.01	-0.01	0.016	+0.016	-0.016	+0.016	-0.016	0.012	+0.016	-0.016	+0.016	-0.016
	-0.35	-0.4	-0.3	0.004	+0.007	-0.007	+0.007	-0.007	0.013	+0.009	-0.009	+0.009	-0.009	0.0	+0.012	-0.012	+0.012	-0.012	0.0	+0.012	-0.012	+0.012	-0.012
	-0.25	-0.3	-0.2	0.012	+0.009	-0.009	+0.009	-0.009	0.022	+0.013	-0.013	+0.013	-0.013	0.0	+0.008	-0.008	+0.008	-0.008	0.017	+0.023	-0.023	+0.011	-0.011
	-0.15000000000000002	-0.2	-0.1	0.012	+0.007	-0.007	+0.007	-0.007	0.004	+0.006	-0.006	+0.006	-0.006	0.02	+0.012	-0.012	+0.009	-0.009	0.018	+0.011	-0.011	+0.011	-0.011
	-0.05	-0.1	0.0	0.006	+0.005	-0.005	+0.005	-0.005	0.006	+0.006	-0.006	+0.006	-0.006	0.012	+0.008	-0.008	+0.008	-0.008	0.0	+0.007	-0.007	+0.007	-0.007
	0.05	0.0	0.1	0.013	+0.01	-0.01	+0.006	-0.006	0.011	+0.007	-0.007	+0.007	-0.007	0.01	+0.007	-0.007	+0.007	-0.007	0.005	+0.005	-0.005	+0.005	-0.005
	0.15000000000000002	0.1	0.2	0.007	+0.005	-0.005	+0.005	-0.005	0.014	+0.01	-0.01	+0.007	-0.007	0.021	+0.007	-0.007	+0.007	-0.007	0.009	+0.005	-0.005	+0.005	-0.005
	0.25	0.2	0.3	0.015	+0.006	-0.006	+0.006	-0.006	0.038	+0.01	-0.01	+0.01	-0.01	0.007	+0.007	-0.007	+0.005	-0.005	0.012	+0.007	-0.007	+0.007	-0.007
	0.35	0.3	0.4	0.033	+0.009	-0.009	+0.009	-0.009	0.021	+0.012	-0.012	+0.008	-0.008	0.043	+0.014	-0.014	+0.013	-0.013	0.028	+0.011	-0.011	+0.011	-0.011
	0.45	0.4	0.5	0.026	+0.017	-0.017	+0.009	-0.009	0.026	+0.018	-0.018	+0.011	-0.011	0.055	+0.016	-0.016	+0.016	-0.016	0.063	+0.018	-0.018	+0.018	-0.018
	0.55	0.5	0.6	0.083	+0.017	-0.017	+0.016	-0.016	0.122	+0.025	-0.025	+0.025	-0.025	0.102	+0.023	-0.023	+0.023	-0.023	0.063	+0.019	-0.019	+0.019	-0.019
	0.6499999999999999	0.6	0.7	0.095	+0.051	-0.051	+0.019	-0.019	0.16	+0.031	-0.031	+0.031	-0.031	0.117	+0.069	-0.069	+0.027	-0.027	0.157	+0.057	-0.057	+0.034	-0.034
	0.75	0.7	0.8	0.161	+0.044	-0.044	+0.028	-0.028	0.286	+0.082	-0.082	+0.052	-0.052	0.164	+0.098	-0.098	+0.037	-0.037	0.152	+0.037	-0.037	+0.037	-0.037
	0.8500000000000001	0.8	0.9	0.21	+0.123	-0.123	+0.038	-0.038	0.175	+0.041	-0.041	+0.041	-0.041	0.145	+0.088	-0.088	+0.044	-0.044	0.188	+0.045	-0.045	+0.045	-0.045
	0.95	0.9	1.0	0.25	+0.106	-0.106	+0.069	-0.069	0.192	+0.052	-0.052	+0.052	-0.052	0.28	+0.073	-0.073	+0.073	-0.073	0.063	+0.124	-0.124	+0.034	-0.034

