Path: /HepData/4293/d4-x1-y1
Differential cross section for the reaction GAMMA P --> K+ LAMBDA in the GAMMA energy range 1.10 to 1.40 GeV in three energy bins
Location: F 4
E(P=1) IN GEV : 1.10 TO 1.20 : 1.20 TO 1.30 : 1.30 TO 1.40
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 1.716 - 1.769 GeV : 1.769 - 1.822 GeV : 1.822 - 1.872 GeV
x : COS(THETA(P=3,RF=CM))
y : D(SIG)/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.9	-0.9	-0.9	0.0304	+0.0158	-0.0158	+0.0085	-0.0085	0.0308	+0.0158	-0.0158	+0.0083	-0.0083	0.0203	+0.0082	-0.0082	+0.0081	-0.0081
	-0.7	-0.7	-0.7	0.0791	+0.0159	-0.0159	+0.0073	-0.0073	0.0488	+0.0106	-0.0106	+0.0072	-0.0072	0.0538	+0.0106	-0.0106	+0.007	-0.007
	-0.5	-0.5	-0.5	0.081	+0.013	-0.013	+0.0065	-0.0065	0.0757	+0.0106	-0.0106	+0.0064	-0.0064	0.0631	+0.0104	-0.0104	+0.0062	-0.0062
	-0.3	-0.3	-0.3	0.0932	+0.0115	-0.0115	+0.0057	-0.0057	0.0863	+0.0097	-0.0097	+0.0057	-0.0057	0.1098	+0.0113	-0.0113	+0.0055	-0.0055
	-0.1	-0.1	-0.1	0.131	+0.013	-0.013	+0.0052	-0.0052	0.1175	+0.0102	-0.0102	+0.0051	-0.0051	0.112	+0.0103	-0.0103	+0.005	-0.005
	0.1	0.1	0.1	0.1264	+0.0123	-0.0123	+0.0048	-0.0048	0.1632	+0.0119	-0.0119	+0.0048	-0.0048	0.1449	+0.0112	-0.0112	+0.0047	-0.0047
	0.3	0.3	0.3	0.1871	+0.0147	-0.0147	+0.0047	-0.0047	0.1972	+0.0132	-0.0132	+0.0046	-0.0046	0.163	+0.0122	-0.0122	+0.0046	-0.0046
	0.5	0.5	0.5	0.1921	+0.0154	-0.0154	+0.0047	-0.0047	0.1919	+0.013	-0.013	+0.0047	-0.0047	0.2394	+0.0158	-0.0158	+0.0047	-0.0047
	0.7	0.7	0.7	0.2285	+0.019	-0.019	+0.0048	-0.0048	0.2433	+0.0162	-0.0162	+0.0048	-0.0048	0.2126	+0.0164	-0.0164	+0.0048	-0.0048
	0.9	0.9	0.9	0.2829	+0.0256	-0.0256	+0.0052	-0.0052	0.2357	+0.0195	-0.0195	+0.0053	-0.0053	0.254	+0.022	-0.022	+0.0053	-0.0053

