Path: /HepData/4293/d5-x1-y1
Differential cross section for the reaction GAMMA P --> K+ LAMBDA in the GAMMA energy range 1.40 to 2.00 GeV in three energy bins
Location: F 4
E(P=1) IN GEV : 1.40 TO 1.60 : 1.60 TO 1.80 : 1.80 TO 2.00
RE : GAMMA P --> K+ LAMBDA
SQRT(S) : 1.872 - 1.97 GeV : 1.97 - 2.063 GeV : 2.063 - 2.152 GeV
x : COS(THETA(P=3,RF=CM))
y : D(SIG)/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.9	-0.9	-0.9	0.0541	+0.0107	-0.0107	+0.0076	-0.0076	0.0571	+0.0214	-0.0214	+0.0104	-0.0104	0.0312	+0.0225	-0.0225	+0.0164	-0.0164
	-0.7	-0.7	-0.7	0.0667	+0.0098	-0.0098	+0.0066	-0.0066	0.0375	+0.0138	-0.0138	+0.0091	-0.0091	0.0539	+0.0197	-0.0197	+0.0145	-0.0145
	-0.5	-0.5	-0.5	0.0712	+0.0093	-0.0093	+0.0058	-0.0058	0.0618	+0.0156	-0.0156	+0.0082	-0.0082	0.0368	+0.0146	-0.0146	+0.0135	-0.0135
	-0.3	-0.3	-0.3	0.1016	+0.0094	-0.0094	+0.0053	-0.0053	0.0334	+0.0082	-0.0082	+0.0075	-0.0075	0.0298	+0.0092	-0.0092	+0.0128	-0.0128
	-0.1	-0.1	-0.1	0.0961	+0.0082	-0.0082	+0.0048	-0.0048	0.0677	+0.0117	-0.0117	+0.0071	-0.0071	0.0288	+0.0078	-0.0078	+0.0126	-0.0126
	0.1	0.1	0.1	0.1052	+0.0082	-0.0082	+0.0046	-0.0046	0.0956	+0.0128	-0.0128	+0.0069	-0.0069	0.0491	+0.01	-0.01	+0.0129	-0.0129
	0.3	0.3	0.3	0.1747	+0.0105	-0.0105	+0.0045	-0.0045	0.089	+0.012	-0.012	+0.007	-0.007	0.0611	+0.0105	-0.0105	+0.0136	-0.0136
	0.5	0.5	0.5	0.213	+0.0125	-0.0125	+0.0047	-0.0047	0.1392	+0.0155	-0.0155	+0.0073	-0.0073	0.1841	+0.0201	-0.0201	+0.0149	-0.0149
	0.7	0.7	0.7	0.2301	+0.0145	-0.0145	+0.0049	-0.0049	0.1394	+0.0175	-0.0175	+0.0079	-0.0079	0.1205	+0.0176	-0.0176	+0.0164	-0.0164
	0.9	0.9	0.9	0.2636	+0.0198	-0.0198	+0.0054	-0.0054	0.1958	+0.0256	-0.0256	+0.0088	-0.0088	0.2177	+0.0345	-0.0345	+0.0188	-0.0188

