Path: /HepData/22/d10-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ SIGMA0 in the energy region 1.05 to 1.15 GeV
Location: F 15
E(P=1) IN GEV : 1.050 TO 1.075 : 1.075 TO 1.100 : 1.100 TO 1.125 : 1.125 TO 1.150
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 1.688 - 1.702 GeV : 1.702 - 1.716 GeV : 1.716 - 1.729 GeV : 1.729 - 1.743 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.021	+0.018	-0.018	+0.017	-0.017	0.017	+0.013	-0.013	+0.013	-0.013	0.024	+0.012	-0.012	+0.012	-0.012	0.059	+0.018	-0.018	+0.018	-0.018
	-0.8500000000000001	-0.9	-0.8	0.017	+0.016	-0.016	+0.011	-0.011	0.015	+0.016	-0.016	+0.009	-0.009	0.013	+0.007	-0.007	+0.007	-0.007	0.029	+0.016	-0.016	+0.011	-0.011
	-0.75	-0.8	-0.7	0.005	+0.008	-0.008	+0.008	-0.008	0.028	+0.009	-0.009	+0.009	-0.009	0.032	+0.012	-0.012	+0.01	-0.01	0.042	+0.012	-0.012	+0.012	-0.012
	-0.6499999999999999	-0.7	-0.6	0.025	+0.012	-0.012	+0.012	-0.012	0.029	+0.009	-0.009	+0.009	-0.009	0.044	+0.019	-0.019	+0.011	-0.011	0.049	+0.012	-0.012	+0.012	-0.012
	-0.55	-0.6	-0.5	0.033	+0.015	-0.015	+0.015	-0.015	0.031	+0.01	-0.01	+0.01	-0.01	0.044	+0.011	-0.011	+0.011	-0.011	0.035	+0.02	-0.02	+0.01	-0.01
	-0.45	-0.5	-0.4	0.017	+0.014	-0.014	+0.012	-0.012	0.036	+0.015	-0.015	+0.011	-0.011	0.026	+0.011	-0.011	+0.008	-0.008	0.051	+0.012	-0.012	+0.011	-0.011
	-0.35	-0.4	-0.3	0.029	+0.013	-0.013	+0.013	-0.013	0.028	+0.012	-0.012	+0.01	-0.01	0.046	+0.018	-0.018	+0.012	-0.012	0.07	+0.014	-0.014	+0.014	-0.014
	-0.25	-0.3	-0.2	0.049	+0.021	-0.021	+0.019	-0.019	0.045	+0.013	-0.013	+0.013	-0.013	0.058	+0.013	-0.013	+0.013	-0.013	0.066	+0.025	-0.025	+0.013	-0.013
	-0.15000000000000002	-0.2	-0.1	0.036	+0.016	-0.016	+0.016	-0.016	0.035	+0.017	-0.017	+0.011	-0.011	0.055	+0.016	-0.016	+0.012	-0.012	0.061	+0.016	-0.016	+0.012	-0.012
	-0.05	-0.1	0.0	0.031	+0.02	-0.02	+0.014	-0.014	0.043	+0.018	-0.018	+0.012	-0.012	0.067	+0.013	-0.013	+0.013	-0.013	0.059	+0.022	-0.022	+0.011	-0.011
	0.05	0.0	0.1	0.03	+0.024	-0.024	+0.012	-0.012	0.051	+0.013	-0.013	+0.013	-0.013	0.039	+0.01	-0.01	+0.01	-0.01	0.073	+0.022	-0.022	+0.013	-0.013
	0.15000000000000002	0.1	0.2	0.042	+0.016	-0.016	+0.016	-0.016	0.05	+0.013	-0.013	+0.013	-0.013	0.063	+0.012	-0.012	+0.012	-0.012	0.069	+0.025	-0.025	+0.012	-0.012
	0.25	0.2	0.3	0.031	+0.014	-0.014	+0.014	-0.014	0.082	+0.016	-0.016	+0.016	-0.016	0.066	+0.02	-0.02	+0.013	-0.013	0.09	+0.014	-0.014	+0.014	-0.014
	0.35	0.3	0.4	0.057	+0.017	-0.017	+0.017	-0.017	0.041	+0.026	-0.026	+0.011	-0.011	0.083	+0.014	-0.014	+0.014	-0.014	0.092	+0.014	-0.014	+0.014	-0.014
	0.45	0.4	0.5	0.011	+0.009	-0.009	+0.009	-0.009	0.067	+0.014	-0.014	+0.014	-0.014	0.088	+0.014	-0.014	+0.014	-0.014	0.082	+0.012	-0.012	+0.012	-0.012
	0.55	0.5	0.6	0.016	+0.023	-0.023	+0.01	-0.01	0.039	+0.017	-0.017	+0.011	-0.011	0.055	+0.017	-0.017	+0.011	-0.011	0.073	+0.012	-0.012	+0.012	-0.012
	0.6499999999999999	0.6	0.7	0.037	+0.019	-0.019	+0.013	-0.013	0.075	+0.014	-0.014	+0.014	-0.014	0.067	+0.012	-0.012	+0.012	-0.012	0.065	+0.011	-0.011	+0.011	-0.011
	0.75	0.7	0.8	0.023	+0.023	-0.023	+0.011	-0.011	0.038	+0.009	-0.009	+0.009	-0.009	0.069	+0.012	-0.012	+0.012	-0.012	0.079	+0.02	-0.02	+0.013	-0.013
	0.8500000000000001	0.8	0.9	0.029	+0.011	-0.011	+0.011	-0.011	0.031	+0.015	-0.015	+0.009	-0.009	0.086	+0.016	-0.016	+0.014	-0.014	0.076	+0.015	-0.015	+0.013	-0.013
	0.95	0.9	1.0	0.019	+0.014	-0.014	+0.014	-0.014	0.046	+0.017	-0.017	+0.014	-0.014	0.045	+0.012	-0.012	+0.012	-0.012	0.043	+0.035	-0.035	+0.012	-0.012

