Path: /HepData/22/d14-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ SIGMA0 in the energy region 1.75 to 1.95 GeV
Location: F 16
E(P=1) IN GEV : 1.750 TO 1.800 : 1.800 TO 1.850 : 1.850 TO 1.900 : 1.900 TO 1.950
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 2.04 - 2.063 GeV : 2.063 - 2.086 GeV : 2.086 - 2.108 GeV : 2.108 - 2.13 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.03	+0.019	-0.019	+0.019	-0.019	0.035	+0.019	-0.019	+0.019	-0.019	0.046	+0.021	-0.021	+0.021	-0.021	0.041	+0.033	-0.033	+0.024	-0.024
	-0.8500000000000001	-0.9	-0.8	0.057	+0.014	-0.014	+0.014	-0.014	0.027	+0.009	-0.009	+0.009	-0.009	0.032	+0.012	-0.012	+0.01	-0.01	0.011	+0.008	-0.008	+0.008	-0.008
	-0.75	-0.8	-0.7	0.014	+0.008	-0.008	+0.007	-0.007	0.032	+0.01	-0.01	+0.01	-0.01	0.024	+0.012	-0.012	+0.009	-0.009	0.013	+0.016	-0.016	+0.007	-0.007
	-0.6499999999999999	-0.7	-0.6	0.028	+0.009	-0.009	+0.009	-0.009	0.005	+0.005	-0.005	+0.005	-0.005	0.008	+0.005	-0.005	+0.005	-0.005	0.011	+0.012	-0.012	+0.007	-0.007
	-0.55	-0.6	-0.5	0.027	+0.008	-0.008	+0.008	-0.008	0.024	+0.021	-0.021	+0.008	-0.008	0.015	+0.006	-0.006	+0.006	-0.006	0.011	+0.01	-0.01	+0.007	-0.007
	-0.45	-0.5	-0.4	0.013	+0.006	-0.006	+0.006	-0.006	0.038	+0.009	-0.009	+0.009	-0.009	0.012	+0.011	-0.011	+0.006	-0.006	0.027	+0.008	-0.008	+0.008	-0.008
	-0.35	-0.4	-0.3	0.041	+0.009	-0.009	+0.009	-0.009	0.034	+0.008	-0.008	+0.008	-0.008	0.023	+0.007	-0.007	+0.007	-0.007	0.028	+0.013	-0.013	+0.008	-0.008
	-0.25	-0.3	-0.2	0.057	+0.012	-0.012	+0.01	-0.01	0.049	+0.009	-0.009	+0.009	-0.009	0.038	+0.008	-0.008	+0.008	-0.008	0.044	+0.017	-0.017	+0.009	-0.009
	-0.15000000000000002	-0.2	-0.1	0.063	+0.01	-0.01	+0.01	-0.01	0.054	+0.009	-0.009	+0.009	-0.009	0.043	+0.014	-0.014	+0.009	-0.009	0.056	+0.01	-0.01	+0.01	-0.01
	-0.05	-0.1	0.0	0.11	+0.013	-0.013	+0.013	-0.013	0.088	+0.012	-0.012	+0.012	-0.012	0.074	+0.012	-0.012	+0.011	-0.011	0.062	+0.01	-0.01	+0.01	-0.01
	0.05	0.0	0.1	0.12	+0.013	-0.013	+0.013	-0.013	0.11	+0.013	-0.013	+0.013	-0.013	0.095	+0.016	-0.016	+0.012	-0.012	0.081	+0.011	-0.011	+0.011	-0.011
	0.15000000000000002	0.1	0.2	0.134	+0.016	-0.016	+0.013	-0.013	0.114	+0.019	-0.019	+0.012	-0.012	0.101	+0.011	-0.011	+0.011	-0.011	0.109	+0.012	-0.012	+0.012	-0.012
	0.25	0.2	0.3	0.129	+0.024	-0.024	+0.012	-0.012	0.153	+0.023	-0.023	+0.014	-0.014	0.147	+0.017	-0.017	+0.014	-0.014	0.127	+0.016	-0.016	+0.013	-0.013
	0.35	0.3	0.4	0.183	+0.02	-0.02	+0.015	-0.015	0.161	+0.014	-0.014	+0.014	-0.014	0.158	+0.019	-0.019	+0.015	-0.015	0.131	+0.013	-0.013	+0.013	-0.013
	0.45	0.4	0.5	0.195	+0.016	-0.016	+0.016	-0.016	0.182	+0.017	-0.017	+0.016	-0.016	0.146	+0.014	-0.014	+0.014	-0.014	0.189	+0.027	-0.027	+0.017	-0.017
	0.55	0.5	0.6	0.194	+0.016	-0.016	+0.016	-0.016	0.187	+0.017	-0.017	+0.017	-0.017	0.21	+0.018	-0.018	+0.018	-0.018	0.168	+0.02	-0.02	+0.017	-0.017
	0.6499999999999999	0.6	0.7	0.191	+0.02	-0.02	+0.017	-0.017	0.186	+0.032	-0.032	+0.018	-0.018	0.229	+0.021	-0.021	+0.019	-0.019	0.183	+0.023	-0.023	+0.018	-0.018
	0.75	0.7	0.8	0.21	+0.019	-0.019	+0.019	-0.019	0.254	+0.039	-0.039	+0.022	-0.022	0.283	+0.024	-0.024	+0.024	-0.024	0.173	+0.019	-0.019	+0.019	-0.019
	0.8500000000000001	0.8	0.9	0.22	+0.027	-0.027	+0.021	-0.021	0.225	+0.022	-0.022	+0.022	-0.022	0.246	+0.024	-0.024	+0.024	-0.024	0.215	+0.023	-0.023	+0.023	-0.023
	0.95	0.9	1.0	0.199	+0.036	-0.036	+0.025	-0.025	0.159	+0.026	-0.026	+0.022	-0.022	0.162	+0.036	-0.036	+0.024	-0.024	0.14	+0.031	-0.031	+0.024	-0.024

