Path: /HepData/22/d16-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ SIGMA0 in the energy region 2.15 to 2.35 GeV
Location: F 17
E(P=1) IN GEV : 2.150 TO 2.200 : 2.200 TO 2.250 : 2.250 TO 2.300 : 2.300 TO 2.350
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 2.217 - 2.238 GeV : 2.238 - 2.259 GeV : 2.259 - 2.279 GeV : 2.279 - 2.3 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.011	+0.019	-0.019	+0.019	-0.019	0.008	+0.02	-0.02	+0.02	-0.02	0.019	+0.028	-0.028	+0.028	-0.028	0.003	+0.021	-0.021	+0.021	-0.021
	-0.8500000000000001	-0.9	-0.8	0.022	+0.011	-0.011	+0.011	-0.011	0.018	+0.012	-0.012	+0.012	-0.012	0.02	+0.014	-0.014	+0.014	-0.014	0.014	+0.015	-0.015	+0.01	-0.01
	-0.75	-0.8	-0.7	0.043	+0.013	-0.013	+0.013	-0.013	0.021	+0.012	-0.012	+0.012	-0.012	0.029	+0.013	-0.013	+0.013	-0.013	0.033	+0.025	-0.025	+0.014	-0.014
	-0.6499999999999999	-0.7	-0.6	0.021	+0.011	-0.011	+0.009	-0.009	0.018	+0.008	-0.008	+0.008	-0.008	0.021	+0.018	-0.018	+0.011	-0.011	0.039	+0.013	-0.013	+0.013	-0.013
	-0.55	-0.6	-0.5	0.016	+0.009	-0.009	+0.009	-0.009	0.032	+0.011	-0.011	+0.011	-0.011	0.016	+0.019	-0.019	+0.01	-0.01	0.011	+0.01	-0.01	+0.01	-0.01
	-0.45	-0.5	-0.4	0.023	+0.009	-0.009	+0.009	-0.009	0.016	+0.013	-0.013	+0.007	-0.007	0.011	+0.01	-0.01	+0.007	-0.007	0.006	+0.007	-0.007	+0.006	-0.006
	-0.35	-0.4	-0.3	0.031	+0.015	-0.015	+0.01	-0.01	0.023	+0.013	-0.013	+0.008	-0.008	0.023	+0.009	-0.009	+0.009	-0.009	0.018	+0.014	-0.014	+0.01	-0.01
	-0.25	-0.3	-0.2	0.014	+0.008	-0.008	+0.007	-0.007	0.015	+0.015	-0.015	+0.007	-0.007	0.02	+0.008	-0.008	+0.008	-0.008	0.011	+0.007	-0.007	+0.006	-0.006
	-0.15000000000000002	-0.2	-0.1	0.027	+0.01	-0.01	+0.008	-0.008	0.028	+0.008	-0.008	+0.008	-0.008	0.028	+0.008	-0.008	+0.008	-0.008	0.014	+0.008	-0.008	+0.007	-0.007
	-0.05	-0.1	0.0	0.036	+0.009	-0.009	+0.009	-0.009	0.034	+0.016	-0.016	+0.008	-0.008	0.023	+0.013	-0.013	+0.008	-0.008	0.016	+0.006	-0.006	+0.006	-0.006
	0.05	0.0	0.1	0.039	+0.023	-0.023	+0.009	-0.009	0.033	+0.011	-0.011	+0.008	-0.008	0.014	+0.012	-0.012	+0.006	-0.006	0.025	+0.012	-0.012	+0.007	-0.007
	0.15000000000000002	0.1	0.2	0.058	+0.012	-0.012	+0.01	-0.01	0.055	+0.009	-0.009	+0.009	-0.009	0.045	+0.019	-0.019	+0.009	-0.009	0.051	+0.013	-0.013	+0.009	-0.009
	0.25	0.2	0.3	0.075	+0.02	-0.02	+0.011	-0.011	0.042	+0.019	-0.019	+0.008	-0.008	0.064	+0.01	-0.01	+0.01	-0.01	0.037	+0.016	-0.016	+0.008	-0.008
	0.35	0.3	0.4	0.079	+0.011	-0.011	+0.011	-0.011	0.085	+0.012	-0.012	+0.012	-0.012	0.102	+0.024	-0.024	+0.013	-0.013	0.078	+0.012	-0.012	+0.012	-0.012
	0.45	0.4	0.5	0.117	+0.017	-0.017	+0.015	-0.015	0.092	+0.014	-0.014	+0.013	-0.013	0.109	+0.018	-0.018	+0.015	-0.015	0.07	+0.013	-0.013	+0.013	-0.013
	0.55	0.5	0.6	0.138	+0.017	-0.017	+0.017	-0.017	0.115	+0.015	-0.015	+0.015	-0.015	0.153	+0.018	-0.018	+0.018	-0.018	0.156	+0.028	-0.028	+0.02	-0.02
	0.6499999999999999	0.6	0.7	0.156	+0.022	-0.022	+0.02	-0.02	0.184	+0.021	-0.021	+0.021	-0.021	0.165	+0.03	-0.03	+0.021	-0.021	0.162	+0.036	-0.036	+0.021	-0.021
	0.75	0.7	0.8	0.168	+0.029	-0.029	+0.021	-0.021	0.185	+0.032	-0.032	+0.023	-0.023	0.183	+0.028	-0.028	+0.023	-0.023	0.181	+0.024	-0.024	+0.024	-0.024
	0.8500000000000001	0.8	0.9	0.192	+0.059	-0.059	+0.025	-0.025	0.169	+0.03	-0.03	+0.025	-0.025	0.22	+0.03	-0.03	+0.03	-0.03	0.176	+0.076	-0.076	+0.028	-0.028
	0.95	0.9	1.0	0.129	+0.05	-0.05	+0.026	-0.026	0.159	+0.036	-0.036	+0.031	-0.031	0.18	+0.034	-0.034	+0.034	-0.034	0.157	+0.058	-0.058	+0.035	-0.035

