Path: /HepData/22/d17-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ SIGMA0 in the energy region 2.35 to 2.55 GeV
Location: F 17
E(P=1) IN GEV : 2.350 TO 2.400 : 2.400 TO 2.450 : 2.450 TO 2.500 : 2.500 TO 2.550
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 2.3 - 2.32 GeV : 2.32 - 2.34 GeV : 2.34 - 2.36 GeV : 2.36 - 2.38 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.0	+0.022	-0.022	+0.022	-0.022	0.0	+0.027	-0.027	+0.027	-0.027	0.006	+0.028	-0.028	+0.028	-0.028	0.0	+0.043	-0.043	+0.043	-0.043
	-0.8500000000000001	-0.9	-0.8	0.029	+0.014	-0.014	+0.014	-0.014	0.04	+0.023	-0.023	+0.023	-0.023	0.017	+0.015	-0.015	+0.015	-0.015	0.005	+0.014	-0.014	+0.014	-0.014
	-0.75	-0.8	-0.7	0.021	+0.012	-0.012	+0.012	-0.012	0.025	+0.016	-0.016	+0.016	-0.016	0.024	+0.016	-0.016	+0.016	-0.016	0.035	+0.028	-0.028	+0.022	-0.022
	-0.6499999999999999	-0.7	-0.6	0.023	+0.012	-0.012	+0.01	-0.01	0.028	+0.021	-0.021	+0.014	-0.014	0.04	+0.018	-0.018	+0.018	-0.018	0.008	+0.011	-0.011	+0.011	-0.011
	-0.55	-0.6	-0.5	0.009	+0.006	-0.006	+0.006	-0.006	0.01	+0.01	-0.01	+0.01	-0.01	0.011	+0.01	-0.01	+0.01	-0.01	0.033	+0.016	-0.016	+0.016	-0.016
	-0.45	-0.5	-0.4	0.015	+0.01	-0.01	+0.01	-0.01	0.011	+0.013	-0.013	+0.007	-0.007	0.014	+0.009	-0.009	+0.009	-0.009	0.018	+0.016	-0.016	+0.016	-0.016
	-0.35	-0.4	-0.3	0.014	+0.016	-0.016	+0.007	-0.007	0.008	+0.009	-0.009	+0.009	-0.009	0.013	+0.009	-0.009	+0.009	-0.009	0.015	+0.012	-0.012	+0.012	-0.012
	-0.25	-0.3	-0.2	0.014	+0.014	-0.014	+0.007	-0.007	0.013	+0.008	-0.008	+0.008	-0.008	0.018	+0.009	-0.009	+0.009	-0.009	0.014	+0.01	-0.01	+0.01	-0.01
	-0.15000000000000002	-0.2	-0.1	0.012	+0.006	-0.006	+0.005	-0.005	0.013	+0.007	-0.007	+0.007	-0.007	0.006	+0.006	-0.006	+0.006	-0.006	0.006	+0.006	-0.006	+0.006	-0.006
	-0.05	-0.1	0.0	0.008	+0.007	-0.007	+0.005	-0.005	0.008	+0.007	-0.007	+0.007	-0.007	0.026	+0.01	-0.01	+0.01	-0.01	0.01	+0.007	-0.007	+0.007	-0.007
	0.05	0.0	0.1	0.015	+0.009	-0.009	+0.006	-0.006	0.01	+0.006	-0.006	+0.006	-0.006	0.013	+0.016	-0.016	+0.006	-0.006	0.01	+0.006	-0.006	+0.006	-0.006
	0.15000000000000002	0.1	0.2	0.037	+0.012	-0.012	+0.008	-0.008	0.018	+0.01	-0.01	+0.006	-0.006	0.04	+0.013	-0.013	+0.01	-0.01	0.02	+0.007	-0.007	+0.007	-0.007
	0.25	0.2	0.3	0.035	+0.008	-0.008	+0.008	-0.008	0.046	+0.01	-0.01	+0.01	-0.01	0.039	+0.01	-0.01	+0.01	-0.01	0.028	+0.012	-0.012	+0.009	-0.009
	0.35	0.3	0.4	0.069	+0.011	-0.011	+0.011	-0.011	0.051	+0.011	-0.011	+0.011	-0.011	0.041	+0.015	-0.015	+0.01	-0.01	0.03	+0.011	-0.011	+0.009	-0.009
	0.45	0.4	0.5	0.091	+0.014	-0.014	+0.014	-0.014	0.088	+0.017	-0.017	+0.017	-0.017	0.073	+0.015	-0.015	+0.015	-0.015	0.078	+0.017	-0.017	+0.017	-0.017
	0.55	0.5	0.6	0.116	+0.017	-0.017	+0.017	-0.017	0.084	+0.017	-0.017	+0.017	-0.017	0.112	+0.02	-0.02	+0.02	-0.02	0.089	+0.018	-0.018	+0.018	-0.018
	0.6499999999999999	0.6	0.7	0.12	+0.024	-0.024	+0.019	-0.019	0.164	+0.028	-0.028	+0.027	-0.027	0.152	+0.026	-0.026	+0.026	-0.026	0.092	+0.033	-0.033	+0.022	-0.022
	0.75	0.7	0.8	0.164	+0.023	-0.023	+0.023	-0.023	0.174	+0.03	-0.03	+0.03	-0.03	0.176	+0.033	-0.033	+0.03	-0.03	0.185	+0.033	-0.033	+0.033	-0.033
	0.8500000000000001	0.8	0.9	0.173	+0.026	-0.026	+0.026	-0.026	0.239	+0.039	-0.039	+0.039	-0.039	0.195	+0.034	-0.034	+0.034	-0.034	0.23	+0.041	-0.041	+0.041	-0.041
	0.95	0.9	1.0	0.074	+0.044	-0.044	+0.023	-0.023	0.098	+0.054	-0.054	+0.032	-0.032	0.142	+0.051	-0.051	+0.039	-0.039	0.132	+0.037	-0.037	+0.037	-0.037

