Path: /HepData/22/d18-x1-y1
Differential cross sections for the reaction GAMMA P --> K+ SIGMA0 in the energy region 2.55 to 2.6 GeV
Location: F 17
E(P=1) IN GEV : 2.550 TO 2.600
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 2.38 - 2.399 GeV
x : COS(THETA(P=3,RF=CM))
y : DSIG/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	-0.95	-1.0	-0.9	0.032	+0.055	-0.055	+0.055	-0.055
	-0.8500000000000001	-0.9	-0.8	0.0	+0.032	-0.032	+0.032	-0.032
	-0.75	-0.8	-0.7	0.017	+0.023	-0.023	+0.023	-0.023
	-0.6499999999999999	-0.7	-0.6	0.031	+0.02	-0.02	+0.02	-0.02
	-0.55	-0.6	-0.5	0.02	+0.016	-0.016	+0.016	-0.016
	-0.45	-0.5	-0.4	0.007	+0.014	-0.014	+0.014	-0.014
	-0.35	-0.4	-0.3	0.003	+0.01	-0.01	+0.01	-0.01
	-0.25	-0.3	-0.2	0.002	+0.008	-0.008	+0.008	-0.008
	-0.15000000000000002	-0.2	-0.1	0.008	+0.008	-0.008	+0.008	-0.008
	-0.05	-0.1	0.0	0.008	+0.014	-0.014	+0.006	-0.006
	0.05	0.0	0.1	0.014	+0.011	-0.011	+0.007	-0.007
	0.15000000000000002	0.1	0.2	0.016	+0.007	-0.007	+0.007	-0.007
	0.25	0.2	0.3	0.028	+0.009	-0.009	+0.009	-0.009
	0.35	0.3	0.4	0.04	+0.02	-0.02	+0.012	-0.012
	0.45	0.4	0.5	0.074	+0.017	-0.017	+0.017	-0.017
	0.55	0.5	0.6	0.078	+0.049	-0.049	+0.019	-0.019
	0.6499999999999999	0.6	0.7	0.098	+0.042	-0.042	+0.023	-0.023
	0.75	0.7	0.8	0.106	+0.051	-0.051	+0.026	-0.026
	0.8500000000000001	0.8	0.9	0.175	+0.065	-0.065	+0.034	-0.034
	0.95	0.9	1.0	0.124	+0.044	-0.044	+0.04	-0.04

