Path: /HepData/4293/d6-x1-y1
Differential cross section for the reaction GAMMA P --> K+ SIGMA0 in the GAMMA energy range 1.05 to 1.35 GeV in three energy bins
Location: F 5
E(P=1) IN GEV : 1.05 TO 1.15 : 1.15 TO 1.25 : 1.25 TO 1.35
RE : GAMMA P --> K+ SIGMA0
SQRT(S) : 1.688 - 1.743 GeV : 1.743 - 1.796 GeV : 1.796 - 1.847 GeV
x : COS(THETA(P=3,RF=CM))
y : D(SIG)/DOMEGA IN MUB/SR
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.9	-0.9	-0.9	0.022	+0.0077	-0.0077	+0.002	-0.002	0.0238	+0.0072	-0.0072	+0.0032	-0.0032	0.0276	+0.0105	-0.0105	+0.0047	-0.0047
	-0.7	-0.7	-0.7	0.0214	+0.007	-0.007	+0.0017	-0.0017	0.0305	+0.0072	-0.0072	+0.0028	-0.0028	0.0697	+0.013	-0.013	+0.0041	-0.0041
	-0.5	-0.5	-0.5	0.0292	+0.0066	-0.0066	+0.0015	-0.0015	0.0578	+0.0088	-0.0088	+0.0025	-0.0025	0.076	+0.0112	-0.0112	+0.0036	-0.0036
	-0.3	-0.3	-0.3	0.0289	+0.0063	-0.0063	+0.0013	-0.0013	0.0887	+0.0098	-0.0098	+0.0022	-0.0022	0.1359	+0.0124	-0.0124	+0.0032	-0.0032
	-0.1	-0.1	-0.1	0.0413	+0.0078	-0.0078	+0.0012	-0.0012	0.0893	+0.0098	-0.0098	+0.002	-0.002	0.1946	+0.0139	-0.0139	+0.0029	-0.0029
	0.1	0.1	0.1	0.0369	+0.007	-0.007	+0.0011	-0.0011	0.0892	+0.0092	-0.0092	+0.0018	-0.0018	0.1742	+0.0124	-0.0124	+0.0027	-0.0027
	0.3	0.3	0.3	0.0433	+0.0076	-0.0076	+0.0011	-0.0011	0.1216	+0.0109	-0.0109	+0.0018	-0.0018	0.1713	+0.012	-0.012	+0.0027	-0.0027
	0.5	0.5	0.5	0.0464	+0.0079	-0.0079	+0.0011	-0.0011	0.0975	+0.0096	-0.0096	+0.0018	-0.0018	0.1862	+0.0125	-0.0125	+0.0027	-0.0027
	0.7	0.7	0.7	0.045	+0.0083	-0.0083	+0.0011	-0.0011	0.1046	+0.0115	-0.0115	+0.0019	-0.0019	0.1757	+0.0132	-0.0132	+0.0028	-0.0028
	0.9	0.9	0.9	0.0265	+0.0075	-0.0075	+0.0012	-0.0012	0.1084	+0.0132	-0.0132	+0.002	-0.002	0.1568	+0.0155	-0.0155	+0.003	-0.003

