CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
1.625	-0.1	0.4967	0.0837
1.625	0	0.3799	0.0678
1.625	0.1	0.3361	0.062
1.625	0.2	0.5174	0.0838
1.625	0.3	0.5369	0.0796
1.625	0.4	0.5052	0.0753
1.625	0.5	0.4897	0.0849
1.625	0.6	0.5718	0.1043
1.625	0.7	0.7261	0.15
1.635	-0.5	0.4118	0.0838
1.635	-0.4	0.4598	0.0761
1.635	-0.3	0.5501	0.0857
1.635	-0.2	0.4679	0.0763
1.635	-0.1	0.4223	0.0671
1.635	0	0.476	0.0611
1.635	0.1	0.5317	0.0614
1.635	0.2	0.6113	0.0667
1.635	0.3	0.5564	0.072
1.635	0.4	0.6295	0.0947
1.635	0.5	0.5596	0.0835
1.635	0.6	0.5228	0.069
1.635	0.7	0.5957	0.0721
1.635	0.8	0.4699	0.1099
1.645	-0.5	0.5756	0.089
1.645	-0.4	0.5036	0.0711
1.645	-0.3	0.5129	0.075
1.645	-0.2	0.5719	0.0839
1.645	-0.1	0.4123	0.0682
1.645	0	0.635	0.0724
1.645	0.1	0.6629	0.0653
1.645	0.2	0.7037	0.0779
1.645	0.3	0.8447	0.11
1.645	0.4	0.6764	0.0719
1.645	0.5	0.7006	0.065
1.645	0.6	1.0378	0.0853
1.645	0.7	1.0189	0.0933
1.645	0.8	1.082	0.1134
1.655	-0.1	0.6391	0.0699
1.655	0	0.703	0.0662
1.655	0.1	0.8145	0.0679
1.655	0.2	0.9051	0.1018
1.655	0.3	0.9488	0.0915
1.655	0.4	0.8704	0.0596
1.655	0.5	0.9889	0.0666
1.655	0.6	1.0181	0.0726
1.655	0.7	0.939	0.0759
1.655	0.8	1.1295	0.1019
1.665	0	0.9013	0.0766
1.665	0.1	1.0479	0.086
1.665	0.2	1.0167	0.1278
1.665	0.3	1.0531	0.0827
1.665	0.4	1.0117	0.0678
1.665	0.5	1.0984	0.0774
1.665	0.6	1.2022	0.086
1.665	0.7	1.3292	0.1022
1.665	0.8	1.2799	0.1137
1.675	-0.5	1.0517	0.1375
1.675	-0.4	1.1083	0.0951
1.675	-0.3	0.9884	0.0845
1.675	-0.2	1.1132	0.0886
1.675	-0.1	1.1775	0.0894
1.675	0	1.0448	0.0595
1.675	0.1	1.1717	0.0659
1.675	0.2	1.1464	0.1131
1.675	0.3	1.3679	0.068
1.675	0.4	1.2842	0.0609
1.675	0.5	1.3476	0.0776
1.675	0.6	1.4256	0.0819
1.675	0.7	1.6026	0.1023
1.675	0.8	1.6371	0.1137
1.685	-0.5	0.9541	0.088
1.685	-0.4	0.9641	0.0743
1.685	-0.3	1.1826	0.0802
1.685	-0.2	1.223	0.0827
1.685	-0.1	1.2809	0.0703
1.685	0	1.1158	0.0558
1.685	0.1	1.2228	0.0553
1.685	0.2	1.2916	0.0904
1.685	0.3	1.2864	0.0569
1.685	0.4	1.4132	0.0574
1.685	0.5	1.4077	0.06
1.685	0.6	1.6338	0.0814
1.685	0.7	1.9187	0.098
1.685	0.8	1.8197	0.1081
1.695	-0.5	0.8281	0.0813
1.695	-0.4	0.9488	0.4379
1.695	-0.3	1.0883	0.0582
1.695	-0.2	1.0328	0.0545
1.695	-0.1	1.0716	0.0569
1.695	0	1.0248	0.0499
1.695	0.1	1.3913	0.0554
1.695	0.2	1.2782	0.0799
1.695	0.3	1.4363	0.0523
1.695	0.4	1.5819	0.0549
1.695	0.5	1.6026	0.0558
1.695	0.6	1.6998	0.064
1.695	0.7	1.8872	0.117
1.695	0.8	1.9566	0.2378
1.705	-0.5	1.0607	0.3942
1.705	-0.4	0.9775	0.4216
1.705	-0.3	0.9376	0.0847
1.705	-0.2	1.0278	0.1565
1.705	-0.1	1.1248	0.071
1.705	0	0.9844	0.0507
1.705	0.1	1.2831	0.0525
1.705	0.2	1.507	0.0808
1.705	0.3	1.4672	0.0566
1.705	0.4	1.602	0.0584
1.705	0.5	1.7086	0.0596
1.705	0.6	1.9407	0.0708
1.705	0.7	2.1427	0.0815
1.705	0.8	2.4083	0.1153
1.705	0.88	2.6276	0.2095
1.715	-0.5	0.787	0.2576
1.715	-0.4	0.8531	0.1316
1.715	-0.3	0.8873	0.1242
1.715	-0.2	1.0397	0.0646
1.715	-0.1	0.998	0.0553
1.715	0	0.9972	0.0626
1.715	0.1	1.3311	0.0509
1.715	0.2	1.4974	0.0705
1.715	0.3	1.5165	0.0509
1.715	0.4	1.6526	0.0548
1.715	0.5	1.9195	0.0584
1.715	0.6	2.0417	0.0627
1.715	0.7	2.1023	0.0908
1.715	0.8	2.6124	0.1788
1.715	0.88	2.6288	0.1893
1.725	-0.5	0.6374	0.2212
1.725	-0.4	0.7246	0.0802
1.725	-0.3	0.7919	0.0615
1.725	-0.2	0.8476	0.0597
1.725	-0.1	0.9977	0.0709
1.725	0	1.0262	0.0518
1.725	0.1	1.2495	0.0589
1.725	0.2	1.4521	0.0698
1.725	0.3	1.5818	0.0737
1.725	0.4	1.7523	0.0561
1.725	0.5	2.0014	0.0593
1.725	0.6	1.9962	0.0614
